id,organism,fasta_file,title,description,is_shown
140,9,/usr/local/i5k/media/blast/db/GCF_018153835.1_ASM1815383v1_translated_cds.faa,GCF_018153835.1_ASM1815383v1_translated_cds.faa,"Drosophila eugracilis NCBI Annotation release 102, translated CDS",True
143,7,/usr/local/i5k/media/blast/db/GCF_018153845.1_ASM1815384v1_translated_cds.faa,GCF_018153845.1_ASM1815384v1_translated_cds.faa,"Drosophila bipectinata NCBI Annotation release 102, translated CDS",True
136,91,/usr/local/i5k/media/blast/db/GCF_019457755.1_ASM1945775v1_translated_cds.faa,GCF_019457755.1_ASM1945775v1_translated_cds.faa,"Venturia canescens NCBI Annotation release 100, translated CDS",True
147,96,/usr/local/i5k/media/blast/db/GCF_021155765.1_iyDipSimi1.1_translated_cds.faa,GCF_021155765.1_iyDipSimi1.1_translated_cds.faa,"Diprion similis NCBI Annotation release 100, translated CDS",True
149,98,/usr/local/i5k/media/blast/db/GCF_021155775.1_iyNeoPine1.1_translated_cds.faa,GCF_021155775.1_iyNeoPine1.1_translated_cds.faa,"Neodiprion pinetum NCBI Annotation release 100, translated CDS",True
148,97,/usr/local/i5k/media/blast/db/GCF_021155785.1_iyNeoFabr1.1_translated_cds.faa,GCF_021155785.1_iyNeoFabr1.1_translated_cds.faa,"Neodiprion fabricii NCBI Annotation release 100, translated CDS",True
171,100,/usr/local/i5k/media/blast/db/GCF_021461385.2_iqSchPice1.1_protein.faa,GCF_021461385.2_iqSchPice1.1_protein.faa,"Schistocerca piceifrons NCBI Annotation release 100, translated CDS",True
170,102,/usr/local/i5k/media/blast/db/GCF_021461395.2_iqSchAmer2.1_protein.faa,GCF_021461395.2_iqSchAmer2.1_protein.faa,"Schistocerca americana NCBI Annotation release 100, translated CDS",True
154,47,/usr/local/i5k/media/blast/db/GCF_021901455.1_iyNeoLeco1.1_translated_cds.faa,GCF_021901455.1_iyNeoLeco1.1_translated_cds.faa,"Neodiprion lecontei NCBI Annotation release 101, translated CDS",True
150,99,/usr/local/i5k/media/blast/db/GCF_021901495.1_iyNeoVirg1.1_translated_cds.faa,GCF_021901495.1_iyNeoVirg1.1_translated_cds.faa,"Neodiprion virginiana NCBI Annotation release 100, translated CDS",True
152,101,/usr/local/i5k/media/blast/db/GCF_022581195.2_ilHelZeax1.1_translated_cds.faa,GCF_022581195.2_ilHelZeax1.1_translated_cds.faa,"Helicoverpa zea NCBI Annotation Release 100, translated CDS",True
203,127,/usr/local/i5k/media/blast/db/GCF_023078275.1_LegGlyc_1.1_translated_cds.faa,GCF_023078275.1_LegGlyc_1.1_translated_cds.faa,"Leguminivora glycinivorella NCBI Annotation release 100, translated CDS",True
232,42,/usr/local/i5k/media/blast/db/GCF_023373825.1_ASM2337382v1_translated_cds.faa,GCF_023373825.1_ASM2337382v1_translated_cds.faa,"Bactrocera dorsalis NCBI Annotation release 103, translated CDS",True
159,108,/usr/local/i5k/media/blast/db/GCF_024362695.1_ilPecGoss1.1_translated_cds.faa,GCF_024362695.1_ilPecGoss1.1_translated_cds.faa,"Pectinophora gossypiella NCBI Annotation release 100, translated CDS",True
167,59,/usr/local/i5k/media/blast/db/GCF_024364675.1_icAetTumi1.1_translated_cds.faa,GCF_024364675.1_icAetTumi1.1_translated_cds.faa,"Aethina tumida NCBI Annotation release 101, translated CDS",True
163,111,/usr/local/i5k/media/blast/db/GCF_024516045.1_iyBomAffi1.2_translated_cds.faa,GCF_024516045.1_iyBomAffi1.2_translated_cds.faa,"Bombus affinis NCBI Annotation release 100, translated CDS",True
160,109,/usr/local/i5k/media/blast/db/GCF_024542735.1_iyBomHunt1.1_translated_cds.faa,GCF_024542735.1_iyBomHunt1.1_translated_cds.faa,"Bombus huntii NCBI Annotation release 100, translated CDS",True
204,6,/usr/local/i5k/media/blast/db/GCF_025231255.1_RU_DBia_V1.1_translated_cds.faa,GCF_025231255.1_RU_DBia_V1.1_translated_cds.faa,"Drosophila biarmipes NCBI Annotation release 103, translated CDS",True
179,46,/usr/local/i5k/media/blast/db/GCF_026212275.2_iyMicDemo2.1a_translated_cds.faa,GCF_026212275.2_iyMicDemo2.1a_translated_cds.faa,"Microplitis demolitor NCBI Annotation release GCF_026212275.2-RS_2023_02, translated CDS",True
173,116,/usr/local/i5k/media/blast/db/GCF_026225885.1_UHH_iyHylAnth1.0_haploid_translated_cds.faa,GCF_026225885.1_UHH_iyHylAnth1.0_haploid_translated_cds.faa,"Hylaeus anthracinus NCBI Annotation release GCF_026225885.1-RS_2023_03, translated CDS",True
176,119,/usr/local/i5k/media/blast/db/GCF_026230105.1_icDioSubl1.1_translated_cds.faa,GCF_026230105.1_icDioSubl1.1_translated_cds.faa,"Diorhabda sublineata NCBI Annotation release GCF_026230105.1-RS_2023_05, translated CDS",True
174,117,/usr/local/i5k/media/blast/db/GCF_026283585.1_UHH_iyHylVolc1.0_haploid_cds_from_genomic.fna,GCF_026283585.1_UHH_iyHylVolc1.0_haploid_cds_from_genomic.fna,"Hylaeus volcanicus NCBI Annotation release GCF_026283585.1-RS_2023_03, translated CDS",True
