id,short_name,genus,species,display_name,tax_id
114,analud,Anastrepha,ludens,Anastrepha ludens,28586
115,anaobl,Anastrepha,obliqua,Anastrepha obliqua,95512
116,hylant,Hylaeus,anthracinus,Hylaeus anthracinus,313031
117,hylvol,Hylaeus,volcanicus,Hylaeus volcanicus,313075
118,zeucuc,Zeugodacus,cucurbitae,Zeugodacus cucurbitae,28588
119,diosub,Diorhabda,sublineata,Diorhabda sublineata,1163346
120,vesman,Vespa,mandarinia,Vespa mandarinia,7446
121,diocar,Diorhabda,carinulata,Diorhabda carinulata,1163345
122,micmed,Microplitis,mediator,Microplitis mediator,375433
124,cylfor,Cylas,formicarius,Cylas formicarius,197179
125,permai,Peregrinus,maidis,Peregrinus maidis,222432
126,cydpom,Cydia,pomonella,Cydia pomonella,82600
127,leggly,Leguminivora,glycinivorella,Leguminivora glycinivorella,1035111
128,dialon,Diachasmimorpha,longicaudata,Diachasmimorpha longicaudata,58733
129,vantam,Vanessa,tameamea,Vanessa tameamea,334116
130,orntur,Ornithodoros,turicata,Ornithodoros turicata,34597
131,anasim,Anabrus,simplex,Anabrus simplex,316456
